split,image,object_id,x1,y1,x2,y2
train,train_038.png,7,258,118,294,136
train,train_038.png,8,116,180,158,198
train,train_039.png,0,234,243,280,259
train,train_039.png,1,321,146,373,162
train,train_039.png,2,138,169,182,187
train,train_039.png,3,110,139,142,159
train,train_039.png,4,173,70,223,80
train,train_039.png,5,245,128,273,144
train,train_039.png,6,157,163,187,177
train,train_039.png,7,318,30,372,50
train,train_039.png,8,313,200,357,210
val,val_000.png,0,118,166,168,178
val,val_000.png,1,206,146,250,164
val,val_000.png,2,276,277,314,293
val,val_000.png,3,290,331,338,345
val,val_000.png,4,63,225,99,241
val,val_000.png,5,150,114,186,130
val,val_000.png,6,200,301,250,315
val,val_000.png,7,302,17,344,37
val,val_000.png,8,117,54,155,64
val,val_001.png,0,102,65,144,77
val,val_001.png,1,343,330,379,340
val,val_001.png,2,146,148,182,160
val,val_001.png,3,165,57,205,73
val,val_001.png,4,154,250,186,264
val,val_002.png,0,49,380,91,392
val,val_002.png,1,169,356,201,376
val,val_002.png,2,274,315,314,335
val,val_002.png,3,112,22,150,38
val,val_002.png,4,260,300,314,310
val,val_002.png,5,113,135,141,153
val,val_002.png,6,81,293,119,309
val,val_002.png,7,295,372,343,392
val,val_002.png,8,344,348,400,366
val,val_003.png,0,295,142,341,156
val,val_003.png,1,208,63,262,77
val,val_003.png,2,352,75,406,91
val,val_003.png,3,294,71,342,89
val,val_003.png,4,302,212,338,228
val,val_003.png,5,179,158,219,168
val,val_003.png,6,294,275,340,291
val,val_003.png,7,206,358,234,372
val,val_003.png,8,239,35,287,51
val,val_004.png,0,153,205,193,221
val,val_004.png,1,284,121,318,131
val,val_004.png,2,92,21,146,31
val,val_004.png,3,25,109,61,121
val,val_004.png,4,233,86,289,96
val,val_004.png,5,77,172,113,188
val,val_004.png,6,283,209,331,225
val,val_005.png,0,299,137,335,149
val,val_005.png,1,55,129,111,145
val,val_005.png,2,134,135,168,147
val,val_005.png,3,18,245,56,257
val,val_005.png,4,180,155,234,175
val,val_005.png,5,263,271,291,289
val,val_005.png,6,201,304,247,316
val,val_005.png,7,241,347,275,357
val,val_006.png,0,26,40,60,54
val,val_006.png,1,206,247,238,267
val,val_006.png,2,168,214,218,228
val,val_006.png,3,26,96,82,116
val,val_006.png,4,291,160,345,170
val,val_006.png,5,339,123,375,143
val,val_006.png,6,162,104,192,120
val,val_006.png,7,116,363,158,379
val,val_006.png,8,278,99,314,115
val,val_007.png,0,338,156,394,174
val,val_007.png,1,333,40,373,50
val,val_007.png,2,276,178,306,194
val,val_007.png,3,259,328,315,340
val,val_007.png,4,34,278,84,298
val,val_007.png,5,60,335,98,347
val,val_007.png,6,200,351,256,363
val,val_008.png,0,134,381,188,393
val,val_008.png,1,29,78,85,88
val,val_008.png,2,357,359,399,371
val,val_008.png,3,71,127,99,137
val,val_008.png,4,98,317,126,331
val,val_008.png,5,114,247,164,265
val,val_009.png,0,17,114,59,134
val,val_009.png,1,90,40,142,58
val,val_009.png,2,161,250,191,268
val,val_009.png,3,258,177,290,193
val,val_009.png,4,81,80,109,94
val,val_009.png,5,177,41,209,59
val,val_009.png,6,315,343,369,357
test,test_000.png,0,301,33,337,49
test,test_000.png,1,213,232,251,246
test,test_000.png,2,151,175,195,195
test,test_000.png,3,291,260,343,272
test,test_001.png,0,217,220,245,232
test,test_001.png,1,236,45,288,55
test,test_001.png,2,249,243,283,261
test,test_001.png,3,122,310,154,330
test,test_001.png,4,92,87,136,99
test,test_002.png,0,222,94,254,110
test,test_002.png,1,271,378,325,388
test,test_002.png,2,255,209,285,227
test,test_002.png,3,333,326,377,342
test,test_002.png,4,355,273,399,293
test,test_002.png,5,107,146,163,160
test,test_003.png,0,253,269,291,289
test,test_003.png,1,33,177,71,195
test,test_003.png,2,279,155,315,175
test,test_003.png,3,203,145,233,157
test,test_004.png,0,169,82,215,96
test,test_004.png,1,240,20,272,40
test,test_004.png,2,219,107,249,117
test,test_004.png,3,289,259,329,273
test,test_004.png,4,129,90,161,106
test,test_005.png,0,355,87,395,107
test,test_005.png,1,209,78,241,92
test,test_005.png,2,330,216,384,228
test,test_005.png,3,156,314,192,334
test,test_005.png,4,202,122,230,136
test,test_005.png,5,246,285,294,295
test,test_005.png,6,348,117,394,137
test,test_005.png,7,92,106,142,122
test,test_006.png,0,298,215,350,227
test,test_006.png,1,221,376,255,388
test,test_006.png,2,179,221,219,241
test,test_006.png,3,291,309,323,329
test,test_006.png,4,157,260,205,276
test,test_006.png,5,83,102,113,118
test,test_006.png,6,118,200,164,218
test,test_006.png,7,94,90,150,102
test,test_007.png,0,235,201,267,215
test,test_007.png,1,111,46,155,64
test,test_007.png,2,169,206,213,226
test,test_007.png,3,81,176,117,188
test,test_008.png,0,34,78,78,94
test,test_008.png,1,233,375,287,387
test,test_008.png,2,118,356,154,376
test,test_008.png,3,330,231,386,245
test,test_008.png,4,246,77,274,95
test,test_009.png,0,50,139,86,151
test,test_009.png,1,122,119,168,131
test,test_009.png,2,341,186,373,206
test,test_009.png,3,164,381,198,395
test,test_009.png,4,48,304,94,316
test,test_009.png,5,212,146,246,160
test,test_009.png,6,55,118,111,138
test,test_009.png,7,335,92,389,110
test,test_009.png,8,253,133,309,151
